Rank,Username,Total Wins,Profile URL,Followers,Member Since,Location,Total Instructables,Total Views,First Win,Most Recent Win,Favourite Category,Grand Prize,1st Prize,2nd Prize,3rd Prize,Runner Up,Judges' Prize,Special,Special Details,Contest Slugs
19,watchmeflyy,37,https://www.instructables.com/member/watchmeflyy/,"1,798","September 15th, 2013",,104,"2,193,804",papercraft,homemadegifts2017,General,4,10,11,4,8,,,,"papercraft, string25, knitcrochet, metal2016, jewelry2020, rainbow2016, bookit, woodworking24, fandom2025, wood2016, vday2016, paper2020, papercraft2017, jewelry2017, tandy2016, patterns24, heroesvillains, cookingbasics, homeremedies2016, digitallife101, deandrascrafts, papercraft2014, dyeingforcolor, makeitglow21, tiny2020, homemadegifts2016, rainyday, lights2017, vintage2014, teachit, SewWarm2021, makerolympics2016, ringschallenge, heart, bracelet, fsl2016, homemadegifts2017"
20,Birdz of a Feather,37,https://www.instructables.com/member/Birdz of a Feather/,294,"December 27th, 2016",Canada,103,"789,713",homeimprovement2017,soupstew,General,3,3,10,4,17,,,,"homeimprovement2017, rainbow24, gifs2017, organizing2021, fiberarts2021, protips, gardening2017, stuffedtoys, springclean2020, art, trashtotreasure2017, fiberarts2020, unusualuses2017, sculptandcarve, Fashion2019, paint21, water, reuse23, plastics, safesecure, stickit, reclaimed2017, staywarm25, toys2018, glutenfree2017, photography2017, ducttape2017, Paint2020, pets2021, outside2017, remix2016, epilog9, unusualuses2021, concrete2021, rainbow25, cookies25, soupstew"
21,M.C. Langer,37,https://www.instructables.com/member/M.C. Langer/,"1,824","March 5th, 2009","Baku, Azerbaijan",113,"1,513,352",classroomscience,kidscrafts2023,General,4,9,5,3,6,9,1,7Th Prize: 1,"classroomscience, pocketsized2019, robotics2019, imadeit, dadcando, anythinggoes, handtools2016, robots2020, RPG, projectprank, trashtotreasure2018, makeitfly2021, potato, halloween09, plastics2020, teachernotes, simplemachines2021, planters, halloween2010, CardboardSpeed19, box, cnc3dprint, hurricanelasers, robots, anythinggoes2024, toys2018, robot, design2012, toysgames22, garden10, toy, fears26, 1Hour, halloween2011props, makeitfly, batterypowered2014, kidscrafts2023"
22,Mrballeng,37,https://www.instructables.com/member/Mrballeng/,"6,385","November 23rd, 2010","Las Vegas, NV",171,"11,079,605",hax2012,fsl2016,General,6,11,8,1,11,,,,"hax2012, epilog7, homemadegifts, imadeit, glue2016, handtools2016, hackit, protips, green, monsters, arewethereyet, puzzles22, gadgethacking, lampslighting, fullspectrum2014, wedding, remix2019, jewelry, up2013, paracordchallenge, backtoschool2012, secretdoors, cnc2020, mif2016, design2012, jigs, toolscontest, ducttape2017, holidaygifts2012, greatoutdoors, glovebox, carsmotorcycles, masonjar2020, 3djewelry2013, shopbot, jewelry2014, fsl2016"
23,makendo,37,https://www.instructables.com/member/makendo/,"3,471","September 20th, 2009",Vancouver Island,107,"9,201,960",sugru,spotless,General,4,10,8,1,14,,,,"sugru, home24, makeitstick2, 3dprinting2016, fixit2012, maps2021, handsfree, plywood, outdoorfitness, unusualuses, frozentreats, games2019, slowfood, photography22, makeitglow2023, thanksgivingrecipes, humana, outside2015, halloween2010, exercise, woodworking2014, toys2018, education, outdoor24, organize19, multi2019, plywood2022, outdoorstructures, concrete2022, rubberbandschallenge, 20minutemeals, toy, onabudget, holidays09, teacher2019, furniture2019, spotless"
24,In The Kitchen With Matt,37,https://www.instructables.com/member/In The Kitchen With Matt/,"3,511","February 7th, 2015","Mesa, AZ, United States",537,"6,447,053",anythinggoes2021,candy2020,General,3,2,6,,23,2,1,4Th Prize: 1,"anythinggoes2021, baking2016, baking2018, party2019, tinfoil, summerfood, rainbow2021, baking2017, snacks2017, chocolatecontest, riceandgrains, halloweencostumes2015, dormfood, breakfast2017, bread2017, kitchenskills, eggs, snackcontest, halloweenfood2015, candy2019, anythinggoes2024, stuffonastick2021, anythinggoes2025, halloween18, oil, remix2015, cheese2016, freeforall, 1Hour, copycatrecipes2017, pie2019, glutenfree2018, cookies2019, cold, kitchen24, oilandvinegar, candy2020"
25,elizabethwebb,37,https://www.instructables.com/member/elizabethwebb/,891,"November 12th, 2012","Albuquerque, N.M.",81,"1,563,078",hotglue2019,sewfast,General,,5,11,,21,,,,"hotglue2019, fandom2019, mexicanfood, recycled, paper2020, copycat2020, maps2019, maps, fiberarts2020, unusualuses2017, potato, warmfuzzy2020, Fashion2019, holidaydecor2020, sillyhats, fandom2020, kitchenskills, budget24, Paint2019, hotglue, candy2019, BookCostume19, beauty2013, snack2013, piday2014, multi2019, glutenfree2017, cardboard2020, SewWarm2021, indoorplants, jewelry2013, fashion2013, books24, pumpkin2020, speedyarn2020, beautytips, sewfast"
26,Hey Jude,35,https://www.instructables.com/member/Hey Jude/,975,"April 5th, 2009",UK,73,"1,293,245",moveit2021,makeenergy,General,8,7,7,2,9,1,1,4Th Prize: 1,"moveit2021, outdoors25, pets2024, sticky, fixit24, toysgames2021, rainbow2020, clocks2020, buildatool2019, afterschool, anythinggoes2023, maps, pets2019, wear23, fandom2021, enchantedobjects, up2013, beforeandafter, fandom, cardboard2021, toysgames22, cardboard2020, anythinggoes2025, microcontrollers24, indoorplants, budgetchallenge, gardening2021, 1Hour, designnowhourofmake, cardboard2019, fruitandveg, reuse2019, rainbow22, microcontroller22, makeenergy"
27,Arnov Sharma,34,https://www.instructables.com/member/Arnov Sharma/,713,"May 6th, 2018",INDIA,321,"1,620,953",plastics2021,clocks24,General,,5,8,,21,,,,"plastics2021, outdoors25, bigsmall24, audio2021, anythinggoes, maps2021, toysgames2021, raspi, puzzlegame24, noise25, space25, makeitglow2023, lamps2021, clocks25, wearables22, makeitglow21, elements2021, microcontroller2021, visualize25, anythinggoes2024, sillysolutions24, jewelry2022, anythinggoes2025, microcontrollers24, art25, moveit22, battery2023, magnets23, fears26, pieday25, sensors26, microcontroller22, clocks23, clocks24"
28,shazni,32,https://www.instructables.com/member/shazni/,"1,622","March 29th, 2009",,135,"2,180,753",flowers2018,epilog6,General,3,6,11,4,7,,1,4Th Prize: 1,"flowers2018, homemadegifts, valentines2013, smallspaces, makeitglow2015, papercraft2017, wedding2016, homeremedies, heroesvillains, pocketsized2018, weekend, letspartychallenge, handsonlearning, chickenrecipes, homemadegifts2015, fullspectrum2014, indian2013, greendesign, preserveit, beyondthecomfortzone, zippers2014, wedding2014, bread2012, design2012, remix, halloween2014props, halloween2012props, makeitstick2012, crafting101, hairandmakeup, kite2013, epilog6"
29,ashleyjlong,31,https://www.instructables.com/member/ashleyjlong/,679,"October 21st, 2014",Los Angeles,70,"1,468,849",glitterchallenge,halloween2014decor,General,5,8,3,3,10,,2,4Th Prize: 2,"glitterchallenge, homemadegifts, apocalypsepreparedness, makeabox, necklacechallenge, safety, backyard, halloweendecor2015, homeremedieschallenge, homemadegifts2015, dyeingforcolor, animalinnovations, snackcontest, prankchallenge, beyondthecomfortzone, hairandmakeup2015, hair2016, travel, springcleaningchallenge, hotglue, piedaycontest, datenightdinners, crafting101, animalscontest, onabudget, howtoplay, indoorgardening, heroesandvillains, fsl2016, graphicdesign, halloween2014decor"
30,opengreenenergy,31,https://www.instructables.com/member/opengreenenergy/,"6,814","December 8th, 2012",India,80,"13,374,046",pocketsized2019,lamps2016,General,2,8,4,3,14,,,,"pocketsized2019, metal2016, apocalypsepreparedness, formlabs, masonjar, sensors, intel, epilog8, anythinggoes2023, gadgethacking, arduino2021, pcbcontest, microcontroller2018, plastics2020, reuse2015, box2017, battery2020, microcontroller2021, survivalready, Microcontroller2017, 1000, outdoor24, hometechnology, PCBdesign, makerolympics2016, soldering, rainbow22, sensors26, makeitglow2022, supercharged, lamps2016"
31,Mimikry,30,https://www.instructables.com/member/Mimikry/,341,"November 25th, 2010",Sweden,65,"1,006,101",tiny,beautytips,General,3,5,9,1,12,,,,"tiny, gifs2017, gardening2019, party2019, sweettreats2019, comfortfood, pets2019, snowyeah2020, breakfast2017, bread2017, sidedishes, scienceofcooking, homecooked, halloweenfood2015, exercise, sandwichspeed, design2012, jewelry2019, onabudget, mealprep19, lazylife2017, holidaydecor, pets, pets2020, concrete2021, farm24, shareyourspace, amigurumi, homemadegifts2017, beautytips"
32,wold630,29,https://www.instructables.com/member/wold630/,"2,250","May 29th, 2011",,117,"6,059,247",cake2012,sewwarm2,General,4,12,7,1,5,,,,"cake2012, cupcake2012, valentines2013, edibleart, copycatrecipes, playwithyourfood2013, pasta2012, makeitglow2015, frozentreats, papercraft2014, rawfood, pizza2013, halloweenfood2015, candy2013, halloween2012food, beauty2013, epilogv, design2012, fried2013, halloween2012props, cupcake, halloween2014food, soupstew2012, makermoms, toy2, greatoutdoors2013, dessert, oilandvinegar, sewwarm2"
33,Random_Canadian,29,https://www.instructables.com/member/Random_Canadian/,"1,631","September 2nd, 2008",Calgary,98,"4,547,899",assistivetech,heart,General,1,10,7,1,9,1,,,"assistivetech, raspi2020, plastics2018, hackit, wood2016, buildatool2019, pocketsized2018, rubberband2020, puzzle, homemadegifts2015, warmfuzzy2020, Fashion2019, snowyeah2020, remix2019, up2013, epilog4, beforeandafter, safesecure, halloween2013props, arduino2019, burnit, battery2013, wearables2020, epicfail, teachit, halloween2012props, makeitreal, epilog6, heart"
34,MadeByBarb,29,https://www.instructables.com/member/MadeByBarb/,850,"June 17th, 2016",,46,"1,175,544",hto2017,spotless,General,5,9,6,2,6,,1,4Th Prize: 1,"hto2017, flowers2018, halloweendecor2016, concrete2019, protips, gardening2017, papercardboard25, epilog8, leather2022, fiberarts2022, fiberarts2020, 2sewornot2sew, rope22, sculpt2020, planters, faux2019, Paint2019, sewtough, jewelry2019, concrete2022, halloween18, SewWarm2021, holidaydecor, warmfuzzy2019, epilog9, concrete2021, tape2019, casting, spotless"
35,andrei.erdei,28,https://www.instructables.com/member/andrei.erdei/,641,"February 3rd, 2013",,52,"730,638",mim2020,clocks24,General,,7,5,,15,,1,4Th Prize: 1,"mim2020, glass2020, anythinggoes2021, MadeWithMath21, anythinggoes, clocks2020, puzzlegame24, games2019, arduino2020, makeitglow2023, lamps2021, LEDstrip, rainbow23, plastics2020, remix2019, sensors2019, MadeWithMath19, home23, microcontroller2021, remix2020, cnc2020, wearables2020, retrotech, freeforall, CNC2019, 3DPrint2020, clocks23, clocks24"
36,JackmanWorks,28,https://www.instructables.com/member/JackmanWorks/,"1,764","January 4th, 2016",Massachusetts,101,"1,512,530",LED2016,homemadegifts2017,General,2,6,8,3,9,,,,"LED2016, beforeandafter2017, epilog10, bat2017, Skateboard, reclaimedwood, supersized2020, plywood, buildatool2019, 2x4, epilog8, unusualuses2017, woodworking2017, trashtreasure2019, bigandsmall, box2017, wood2019, reclaimed2017, shelving2016, photography2017, woodworking2018, freeforall, reuse2019, makeitglow2016, fsl2016, drones2016, trashytreasure2020, homemadegifts2017"
37,ChrysN,28,https://www.instructables.com/member/ChrysN/,"2,311","June 21st, 2008",Vancouver,142,"11,047,228",hax2012,amigurumi,General,4,11,4,2,7,,,,"hax2012, sugru, makeitstick2, makeitglow2013, audio, keyboardvsmouse, gardenphoto, fiberarts2013, buildwithyarn, workshopofthefuture, deandrascrafts, humana, printanddye, officesupplies, pixlrhalloween2012, kidscrafts, backtoschool, egg2014, burningquestions5, sketchbookhalloween2012, onabudget, halloween2014food, gamelife3, holidaygifts2012, batterypowered2014, shareyourspace, furniture2013, amigurumi"
38,babybayrs,28,https://www.instructables.com/member/babybayrs/,467,"January 28th, 2013",WI,99,"820,908",outdoors25,cookie,General,1,3,4,2,17,,1,4Th Prize: 1,"outdoors25, contestpurple, paleochallenge, snacks2017, healthyeating, tandy2016, comfortfood, dormfood, meatfree, 3ingredient, indian2013, winterwearables, indoorgardening2016, italian2013, sandwichspeed, potluck, chinese2013, snack2013, 20minutemeals, halloween2014food, gardening2021, sweettooth, homegarden22, rainbow25, meat2016, urbanfarming, meat, cookie"
39,ElisesEats,28,https://www.instructables.com/member/ElisesEats/,281,"August 12th, 2015",Australia,89,"566,800",baking2016,cookie,General,2,5,6,,14,,1,4Th Prize: 1,"baking2016, baking2018, sandwich, edibleart, sweettreats2019, chocolate22, rainbow2021, baking2017, chocolatecontest, riceandgrains, meatfree, potato, cheese2021, meatless, breakfast2017, fandom2020, homecooked, halloweenfood2015, heirloom, rainyday, slowcook2018, 20minutemeals, cheese2016, copycatrecipes2017, pie2019, fruitandveg, cookies2019, cookie"
40,PieBaby89,28,https://www.instructables.com/member/PieBaby89/,323,"August 14th, 2017","Arvada, Colorado",40,"485,480",outofthebox,candy2020,General,10,9,5,,4,,,,"outofthebox, baking2018, frozentreats2019, pumpkin, sweettreats2019, cookies2020, baking2017, copycat2020, comfortfood, h2o2021, frozentreats2020, potato, cheese2021, rainbow23, kitchenskills, sidedishes, scienceofcooking, piday2021, baking2020, slowcook2018, glutenfree2017, baking2023, heart, pieday25, cookies2019, Kompromises, pumpkin2020, candy2020"
41,DIY Hacks and How Tos,27,https://www.instructables.com/member/DIY Hacks and How Tos/,"7,379","July 14th, 2011","West Lafayette, IN",148,"13,066,489",papercraft,craft2013,General,,6,5,5,11,,,,"papercraft, micro2013, makeitglow2013, launchit2014, juryrigit, audio, weekend, gadgethacking, fullspectrum2014, guerilladesign, prankchallenge, flexbot, greentech2012, halloween2014props, automationcontest, onabudget, aprilfools2014, snow2014, makermoms, halloween2013decor, winterizechallenge, mikeshard, epilog6, tech2014, ducttape2013, fixit2014, craft2013"
42,Passion Make,27,https://www.instructables.com/member/Passion Make/,497,"May 2nd, 2014",India,131,"884,017",indoorgardening2015,footwear,General,,10,2,2,12,,1,4Th Prize: 1,"indoorgardening2015, madewithyarn, formlabs, caffeine, feet, rainbow2021, cookingbasics, greendesign2014, knitcrochet22, snackcontest, rawfood, heirloom, springcleaningchallenge, jewelry2022, butterchallenge, datenightdinners, greatoutdoors2014, onabudget, halloween2014food, huntergatherer, somelikeithot, mikeshard, diyuniversity, pumpkins, epilog6, makeitglow2016, footwear"
43,AMbros Custom,27,https://www.instructables.com/member/AMbros Custom/,613,"August 22nd, 2011",INDIA,63,"962,372",anythinggoes2021,trashytreasure2020,General,5,3,8,,10,1,,,"anythinggoes2021, furniture2021, fandom2019, explorescience, metal2018, gardening2019, jewelry2020, MadeWithMath21, metal2019, metal2020, sculpt2020, sculptandcarve, makeitglow21, cnc2021, buildatool, cnc2020, halloweenprops2016, jewelry2022, multi2019, metal2021, reclaimed, metal23, epilog9, concrete2021, workshophacks2017, reuse2019, trashytreasure2020"
44,DIY for Homeowners,27,https://www.instructables.com/member/DIY for Homeowners/,846,"August 26th, 2015",Florida,181,"1,225,356",home24,makeitglow2016,General,,1,6,1,18,,1,4Th Prize: 1,"home24, pets2024, fixit24, handtools2016, gardening2017, earth25, tshirttransformations, homerepairs25, fixit20, trashtotreasure2018, homemadegifts2015, 3ingredient, diysummercamp, beyondthecomfortzone, safesecure, home23, outdoor24, organize19, misuse, concrete2022, freeforall, holidaydecor, secrets2020, water2024, beforeafter2016, books24, makeitglow2016"
45,caitlinsdad,27,https://www.instructables.com/member/caitlinsdad/,"1,352","December 17th, 2007",,339,"3,029,273",halloweendecor2016,electronicstips2018,General,2,6,5,5,8,,1,4Th Prize: 1,"halloweendecor2016, diyhalloween08, halloween2011food, makeitglow2015, buildatool2019, halloweenprops2015, wall, lightupyourride, fullspectrum2014, bricobart, outdoorworkshop, halloween2011decorations, halloween2010, halloween2013props, cake, dormhacks2016, traveltips, butterchallenge, halloween2014food, cardboard2017, comfortfood2014, wearabletech, greensciencefair, halloween2011props, dreamdrawwear, jewelry2014, electronicstips2018"
46,陳亮,26,https://www.instructables.com/member/陳亮/,"1,755","November 4th, 2015",Hong Kong,152,"3,844,871",moveit2021,microcontroller22,General,1,6,3,,16,,,,"moveit2021, LED2016, anythinggoes, electronics, iot2016, robots2020, anythinggoes2023, invention2017, wear23, clocks25, arduino2021, jewelry26, bigandsmall, robotics2023, arduino2019, robots, anythinggoes2024, 1000, iot2017, makeitglow2018, spicy, anythinggoes2025, microcontrollers24, bigsmall23, makeitglow2022, microcontroller22"
47,Bhawya,26,https://www.instructables.com/member/Bhawya/,864,"February 20th, 2014",Canada,125,"1,096,734",hackyourday,snacks2016,General,3,5,3,2,12,,1,4Th Prize: 1,"hackyourday, rainbow2016, paleochallenge, homeremedieschallenge, homeremedies2016, wax, fullspectrum2014, bigorsmall, coconut, earringchallenge, hairandmakeup2015, hotglue, makeitglow2014, butterchallenge, zippers2014, wedding2014, datenightdinners, baking, teachit, madebybees, halloween2014food, somelikeithot, mikeshard, pizzachallenge, oilandvinegar, snacks2016"
48,lindarose92,26,https://www.instructables.com/member/lindarose92/,"2,544","December 17th, 2012",,96,"3,174,408",LED2016,holiday2013,General,5,6,5,4,5,,1,4Th Prize: 1,"LED2016, papercraft, pet2014, smallspaces, contestpurple, paper2020, fiberarts2013, papercraft2017, weekend, deandrascrafts, fullspectrum2014, italian2013, paper2018, beyondthecomfortzone, paracordchallenge, halloween2013props, piday2014, cardboard2020, fried2013, teachit, icouldmakethat, diyuniversity, epilog6, fashion2013, ducttape2013, holiday2013"
49,taifur,26,https://www.instructables.com/member/taifur/,"1,786","May 30th, 2014","Dhaka, Bangladesh",77,"2,660,588",LED2016,tools25,General,,4,9,,12,1,,,"LED2016, makeitglow19, glue2016, handtools2016, eggs2016, audio2017, invention2017, clocks25, voiceactivated2018, pcbcontest, gamelife2018, sensors2019, blockcode2023, planters, fixit2017, visualize25, time, robotics2015, firsttime2015, automation2021, microbit, iot2019, electronicstips2018, clocks23, Makerspace, tools25"
50,xX_christopher_Xx,26,https://www.instructables.com/member/xX_christopher_Xx/,150,"April 13th, 2020",United States,89,"223,712",plastics2021,lettherebespeed,General,,4,4,,17,1,,,"plastics2021, rainbow2021, patterns24, noise25, anythinggoes2023, rope22, makeitfly2021, chair26, decor, remake2024, art24, staywarm24, papercardboard24, makeitfold25, rc2022, makeitmove2024, engineeringkitchen, makeitspin25, origami22, bigvssmall, anythinggoes2025, makeittemporary2025, metal23, art25, moveit22, lettherebespeed"
